ORGANIZATION_ID|BUSINESS_GROUP_ID|NAME|ORG_INFORMATION5|STATUS|LOCATION_ID|ORG_INFORMATION1|ORG_INFORMATION2|ORG_INFORMATION3|ORG_INFORMATION4|ORG_INFORMATION6|ORG_INFORMATION7|ORG_INFORMATION8|CLASSIFICATION_CODE|EFFECTIVE_START_DATE|EFFECTIVE_END_DATE|ORG_INFORMATION_CONTEXT|ORGANIZATION_ID1|CLASSIFICATION_CODE1|FT_ALTERNATE_REC|FT_ALTERNATE_KEY
AO "KazTransGaz" BU|188772AEC11AAD11E053A647660A0CF2|АО "КазТрансГаз" BU||A|||||19B73EDCB32C8603E053A647660A5518|Y||||1900-01-01|4712-12-31||||BUS_UNIT_TBL_HR|AO "KazTransGaz" BU
AO "KazTransGaz Aimak" CA BU|188772AEC11AAD11E053A647660A0CF2|АО "КазТрансГаз Аймак" ЦА BU||A|||||188772AEC119AD11E053A647660A0CF2|Y||||1900-01-01|4712-12-31||||BUS_UNIT_TBL_HR|AO "KazTransGaz Aimak" CA BU
