JOB_FAMILY_ID|EFFECTIVE_START_DATE|EFFECTIVE_END_DATE|JOB_FAMILY_NAME|BUSINESS_GROUP_ID|ACTION_OCCURRENCE_ID|ACTIVE_STATUS|ATTRIBUTE_CATEGORY|ATTRIBUTE1|ATTRIBUTE2|ATTRIBUTE3|ATTRIBUTE4|ATTRIBUTE5|ATTRIBUTE6|ATTRIBUTE7|ATTRIBUTE8|ATTRIBUTE9|ATTRIBUTE10|ATTRIBUTE11|ATTRIBUTE12|ATTRIBUTE13|ATTRIBUTE14|ATTRIBUTE15|ATTRIBUTE16|ATTRIBUTE17|ATTRIBUTE18|ATTRIBUTE19|ATTRIBUTE20|ATTRIBUTE21|ATTRIBUTE22|ATTRIBUTE23|ATTRIBUTE24|ATTRIBUTE25|ATTRIBUTE26|ATTRIBUTE27|ATTRIBUTE28|ATTRIBUTE29|ATTRIBUTE30|FT_ALTERNATE_REC|FT_ALTERNATE_KEY
JOB_FAMILY_3696883719|1900-01-01|4712-12-31|Рабочие|188772AEC11AAD11E053A647660A0CF2||A||||||||||||||||||||||||||||||||JOB_FAMILY_TBL|JOB_FAMILY_3696883719
JOB_FAMILY_3266313591|1900-01-01|4712-12-31|Руководители|188772AEC11AAD11E053A647660A0CF2||A||||||||||||||||||||||||||||||||JOB_FAMILY_TBL|JOB_FAMILY_3266313591
JOB_FAMILY_2543482178|1900-01-01|4712-12-31|Руководители высшего звена|188772AEC11AAD11E053A647660A0CF2||A||||||||||||||||||||||||||||||||JOB_FAMILY_TBL|JOB_FAMILY_2543482178
JOB_FAMILY_706094967|1900-01-01|4712-12-31|Руководители среднего звена|188772AEC11AAD11E053A647660A0CF2||A||||||||||||||||||||||||||||||||JOB_FAMILY_TBL|JOB_FAMILY_706094967
JOB_FAMILY_3490852268|1900-01-01|4712-12-31|Служащие|188772AEC11AAD11E053A647660A0CF2||A||||||||||||||||||||||||||||||||JOB_FAMILY_TBL|JOB_FAMILY_3490852268
JOB_FAMILY_407789323|1900-01-01|4712-12-31|Специалисты|188772AEC11AAD11E053A647660A0CF2||A||||||||||||||||||||||||||||||||JOB_FAMILY_TBL|JOB_FAMILY_407789323
