ORGANIZATION_ID|EFFECTIVE_START_DATE|EFFECTIVE_END_DATE|NAME|LOCATION_ID|BUSINESS_GROUP_ID|SET_ID|LEGAL_ENTITY_ID|ESTABLISHMENT_ID|COST_ALLOCATION_KEYFLEX_ID|ACTION_OCCURENCE_ID|STATUS|INTERNAL_EXTERNAL_FLAG|INTERNAL_ADDRESS_LINE|ORGANIZATION_TYPE|ATTRIBUTE_CATEGORY|ATTRIBUTE1|ATTRIBUTE2|ATTRIBUTE3|ATTRIBUTE4|ATTRIBUTE5|ATTRIBUTE6|ATTRIBUTE7|ATTRIBUTE8|ATTRIBUTE9|ATTRIBUTE10|ATTRIBUTE11|ATTRIBUTE12|ATTRIBUTE13|ATTRIBUTE14|ATTRIBUTE15|ATTRIBUTE16|ATTRIBUTE17|ATTRIBUTE18|ATTRIBUTE19|ATTRIBUTE20|ATTRIBUTE21|ATTRIBUTE22|ATTRIBUTE23|ATTRIBUTE24|ATTRIBUTE25|ATTRIBUTE26|ATTRIBUTE27|ATTRIBUTE28|ATTRIBUTE29|ATTRIBUTE30|SOURCE_LANG|ACTION_OCCURRENCE_ID1|CLASSIFICATION_CODE|LEGISLATION_CODE|FT_ALTERNATE_REC|FT_ALTERNATE_KEY
KTG_DEP_391638648|2000/03/08|2003/03/28|КТГ Сектор комплектации|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_391638648
KTG_DEP_2180304985|2000/03/08|2001/05/15|КТГ Управление добычи|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_2180304985
KTG_DEP_3578631614|2000/03/08|2002/04/20|КТГ Филиал в г. Тараз|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_3578631614
KTG_DEP_2887146908|2000/03/08|2003/12/30|КТГ Атырауский филиал ЗАО "КазТрансГаз"|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_2887146908
KTG_DEP_1264305447|2000/03/08|2003/09/03|КТГ Управление планирования денежных потоков|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_1264305447
KTG_DEP_3599295913|2000/03/08|2004/11/25|КТГ Отдел по освоению газовых месторождений|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_3599295913
KTG_DEP_1315458630|2000/03/08|2003/03/04|КТГ Управление корпоративного финансирования|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_1315458630
KTGA_DEP_2177486673|2000/03/08|2002/09/18|КТГА Актюбинский филиал|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|188772AEC119AD11E053A647660A0CF2|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTGA_DEP_2177486673
KTG_DEP_2975045421|2000/03/08|2004/08/19|КТГ Экономики и финансов|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_2975045421
KTG_DEP_3713110815|2000/03/08|2009/08/04|КТГ Департамент капитального строительства|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_3713110815
KTG_DEP_1456919900|2000/03/08|2006/11/22|КТГ Департамент маркетинга и коммерции|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_1456919900
KTG_DEP_3044483734|2000/03/08|2006/08/22|КТГ Представительство в г. Ашгабад|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_3044483734
KTG_DEP_3828630578|2000/03/08|2003/12/30|КТГ Западно-Казахстанский филиал ЗАО "КазТрансГаз"|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_3828630578
KTG_DEP_546559992|2000/03/08|2003/09/03|КТГ Управление по связям с общественностью|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_546559992
KTG_DEP_1463525366|2000/03/08|2003/03/29|КТГ Отдел обустройства месторождения|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_1463525366
KTG_DEP_3092975434|2000/03/08|2002/12/27|КТГ Управление по работе с регионами|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_3092975434
KTG_DEP_2569941129|2000/03/08|2006/11/22|КТГ Хозяйственный отдел|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_2569941129
KTG_DEP_743429240|2000/03/08|2003/12/30|КТГ Южно-Казахстанский филиал ЗАО "КазТрансГаз"|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_743429240
KTG_DEP_2643697005|2000/03/08|2002/05/01|КТГ Депертамент по Карачаганакскому проекту|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_2643697005
KTG_DEP_1540453997|2000/03/08|2004/02/28|КТГ Жамбылский филиал ЗАО "КазТрансГаз" в г. Тараз - Дирекция строящегося предприятия "Амангельды"|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_1540453997
KTG_DEP_3118550937|2000/03/08|2012/05/25|КТГ Департамент по освоению газовых месторождений|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_3118550937
KTG_DEP_1719499238|2000/03/08|2003/12/30|КТГ Актюбинский филиал ЗАО "КазТрансГаз"|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_1719499238
KTG_DEP_3212100373|2000/03/08|2002/04/02|КТГ Управление бурения|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_3212100373
KTG_DEP_841594046|2000/03/08|2003/09/03|КТГ Управление по освоению газовых месторождений|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_841594046
KTG_DEP_3238245425|2000/03/08|2002/04/02|КТГ Департамент по развитию Амангельдинского месторождения|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_3238245425
KTG_DEP_4010709120|2000/03/08|2003/09/03|КТГ Отдел по внешним экономическим связям|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_4010709120
KTG_DEP_954956018|2000/03/08|2003/03/29|КТГ Юридический отдел|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_954956018
KTG_DEP_2689696061|2000/03/08|2003/09/03|КТГ Управление активов|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_2689696061
KTG_DEP_1808809181|2000/03/08|2003/03/29|КТГ Производственно - технический отдел|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_1808809181
KTG_DEP_3352449999|2000/03/08|2003/03/29|КТГ Сектор главного механика|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_3352449999
KTG_DEP_4075828438|2000/03/08|2001/05/15|КТГ Управление геологоразведки|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_4075828438
KTG_DEP_25250755|2000/03/08|2000/07/25|КТГ Структурного финансирования|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_25250755
KTG_DEP_1941991157|2000/03/08|2003/09/03|КТГ Управление маркетинга и коммерции|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_1941991157
KTG_DEP_1044789362|2000/03/08|2006/11/22|КТГ Представительсво в г. Киев|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_1044789362
