JOB_FAMILY_ID|EFFECTIVE_START_DATE|EFFECTIVE_END_DATE|JOB_FAMILY_NAME|BUSINESS_GROUP_ID|ACTION_OCCURRENCE_ID|ACTIVE_STATUS|ATTRIBUTE_CATEGORY|ATTRIBUTE1|ATTRIBUTE2|ATTRIBUTE3|ATTRIBUTE4|ATTRIBUTE5|ATTRIBUTE6|ATTRIBUTE7|ATTRIBUTE8|ATTRIBUTE9|ATTRIBUTE10|ATTRIBUTE11|ATTRIBUTE12|ATTRIBUTE13|ATTRIBUTE14|ATTRIBUTE15|ATTRIBUTE16|ATTRIBUTE17|ATTRIBUTE18|ATTRIBUTE19|ATTRIBUTE20|ATTRIBUTE21|ATTRIBUTE22|ATTRIBUTE23|ATTRIBUTE24|ATTRIBUTE25|ATTRIBUTE26|ATTRIBUTE27|ATTRIBUTE28|ATTRIBUTE29|ATTRIBUTE30|FT_ALTERNATE_REC|FT_ALTERNATE_KEY
KTGA_JOB_FAMILY1|1900-01-01|4712-12-31|Служащие|11A3CAC8E20AB4E6E053A747660AF6EC||A||||||||||||||||||||||||||||||||JOB_FAMILY_TBL|KTGA_JOB_FAMILY1
KTGA_JOB_FAMILY2|1900-01-01|4712-12-31|Рабочие|11A3CAC8E20AB4E6E053A747660AF6EC||A||||||||||||||||||||||||||||||||JOB_FAMILY_TBL|KTGA_JOB_FAMILY2
KTGA_JOB_FAMILY3|1900-01-01|4712-12-31|Специалисты|11A3CAC8E20AB4E6E053A747660AF6EC||A||||||||||||||||||||||||||||||||JOB_FAMILY_TBL|KTGA_JOB_FAMILY3
KTGA_JOB_FAMILY4|1900-01-01|4712-12-31|Руководители|11A3CAC8E20AB4E6E053A747660AF6EC||A||||||||||||||||||||||||||||||||JOB_FAMILY_TBL|KTGA_JOB_FAMILY4
