PROFILE_ITEM_ID|PROFILE_ID|BUSINESS_GROUP_ID|CONTENT_TYPE_ID|CONTENT_ITEM_ID|SOURCE_TYPE|SOURCE_KEY_1|SOURCE_KEY_2|SOURCE_KEY_3|SOURCE_ID|MANDATORY|ITEM_TEXT240_3|ITEM_TEXT240_1|ITEM_TEXT240_2|RATING_MODEL_ID_2|RATING_MODEL_ID_3|QUALIFIER_ID_1|RATING_LEVEL_ID_2|RATING_MODEL_ID_1|ITEM_TEXT240_7|RATING_LEVEL_ID_1|ITEM_TEXT240_6|IMPORTANCE|RATING_LEVEL_ID_3|ITEM_TEXT240_4|QUALIFIER_ID_2|ITEM_TEXT240_5|PARENT_PROFILE_ITEM_ID|INTEREST_LEVEL|ITEM_TEXT240_8|ITEM_TEXT240_9|ITEM_TEXT240_10|ITEM_TEXT240_11|ITEM_TEXT240_12|ITEM_TEXT240_13|ITEM_TEXT240_14|ITEM_TEXT240_15|ITEM_TEXT2000_1|ITEM_TEXT2000_2|ITEM_TEXT2000_3|ITEM_TEXT2000_4|ITEM_TEXT2000_5|ITEM_TEXT30_1|ITEM_TEXT30_2|ITEM_TEXT30_3|ITEM_TEXT30_4|ITEM_TEXT30_5|ITEM_TEXT30_6|ITEM_TEXT30_7|ITEM_TEXT30_8|ITEM_TEXT30_9|ITEM_TEXT30_10|ITEM_TEXT30_11|ITEM_TEXT30_12|ITEM_TEXT30_13|ITEM_TEXT30_14|ITEM_TEXT30_15|ITEM_DATE_1|ITEM_DATE_2|ITEM_DATE_3|ITEM_DATE_4|ITEM_DATE_5|ITEM_DATE_6|ITEM_DATE_7|ITEM_DATE_8|ITEM_DATE_9|ITEM_DATE_10|ITEM_NUMBER_1|ITEM_NUMBER_2|ITEM_NUMBER_3|ITEM_NUMBER_4|ITEM_NUMBER_5|ITEM_NUMBER_6|ITEM_NUMBER_7|ITEM_NUMBER_8|ITEM_NUMBER_9|ITEM_NUMBER_10|ITEM_DECIMAL_1|ITEM_DECIMAL_2|ITEM_DECIMAL_3|ITEM_DECIMAL_4|ITEM_DECIMAL_5|DATE_FROM|DATE_TO|COUNTRY_ID|STATE_PROVINCE_ID
KTG_P_W_12|PROFILE_759897384|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19BC1375BE053A747660A4A5B|||||||||Каз НИИ Энергетики|Лаборант, ст. лаборант||||||||||||||||Лаборант, ст. лаборант|Лаборант, ст. лаборант||||||||||||||||||ADMIN|||||||||1966-11-01|1970-07-09||||||||||||||||||||||||2015-06-02|||
KTG_P_W_13|PROFILE_759897384|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19BC1375BE053A747660A4A5B|||||||||Казглавгаз при Совмине Каз. ССР|Инж., ст. инж., глав. спец., нач. отдела||||||||||||||||Инж., ст. инж., глав. спец., нач. отдела|Инж., ст. инж., глав. спец., нач. отдела||||||||||||||||||ADMIN|||||||||1970-07-20|1984-01-20||||||||||||||||||||||||2015-06-02|||
KTG_P_W_14|PROFILE_759897384|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19BC1375BE053A747660A4A5B|||||||||Госкомгаз Каз. ССР|Главный механик||||||||||||||||Главный механик|Главный механик||||||||||||||||||ADMIN|||||||||1984-01-23|1985-04-01||||||||||||||||||||||||2015-06-02|||
KTG_P_W_15|PROFILE_759897384|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19BC1375BE053A747660A4A5B|||||||||УМГ "Узбектрансгаз"|Заместитель начальника||||||||||||||||Заместитель начальника|Заместитель начальника||||||||||||||||||ADMIN|||||||||1985-04-02|1992-01-24||||||||||||||||||||||||2015-06-02|||
KTG_P_W_16|PROFILE_759897384|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19BC1375BE053A747660A4A5B|||||||||ГП "Жетысугаз", Гос. холд. комп. "Алаугаз", АО "Алаугаз"|Глав. инженер ГП, нач. управления, глав. инж. управления||||||||||||||||Глав. инженер ГП, нач. управления, глав. инж. управления|Глав. инженер ГП, нач. управления, глав. инж. управления||||||||||||||||||ADMIN|||||||||1992-01-25|1997-07-17||||||||||||||||||||||||2015-06-02|||
KTG_P_W_17|PROFILE_759897384|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19BC1375BE053A747660A4A5B|||||||||ЗАО "Интергаз Центральная Азия"|Менеджер||||||||||||||||Менеджер|Менеджер||||||||||||||||||ADMIN|||||||||1997-07-26|1999-09-01||||||||||||||||||||||||2015-06-02|||
KTG_P_W_18|PROFILE_759897384|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19BC1375BE053A747660A4A5B|||||||||ЗАО "Интегаз Центральная Азия"|Глав. специалист||||||||||||||||Глав. специалист|Глав. специалист||||||||||||||||||ADMIN|||||||||1999-09-02|2000-06-19||||||||||||||||||||||||2015-06-02|||
KTG_P_W_19|PROFILE_1263967522|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19BC1375BE053A747660A4A5B|||||||||Филиал мал. частн. предпр. "Алан" - Производственно - коммерческая фирма "Аруана"|Специалист||||||||||||||||Специалист|Специалист||||||||||||||||||ADMIN|||||||||1992-05-22|1994-03-29||||||||||||||||||||||||2015-06-02|||
KTG_P_W_20|PROFILE_1263967522|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19BC1375BE053A747660A4A5B|||||||||Ассоциация А.С.К.|Ведущий специалист по энергетике||||||||||||||||Ведущий специалист по энергетике|Ведущий специалист по энергетике||||||||||||||||||ADMIN|||||||||1994-03-29|1995-03-28||||||||||||||||||||||||2015-06-02|||
KTG_P_W_21|PROFILE_1263967522|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19BC1375BE053A747660A4A5B|||||||||ТОО "Комапния "ЭнергоПромСервис"|Коммерческий директор||||||||||||||||Коммерческий директор|Коммерческий директор||||||||||||||||||ADMIN|||||||||1995-03-28|1997-02-13||||||||||||||||||||||||2015-06-02|||
